,0,1,2,3
486,1.0,0.0,48.0,19.0
487,1.0,0.0,48.0,22.0
488,1.0,0.0,48.0,25.0
489,1.0,0.0,48.0,28.0
490,1.0,0.0,49.0,1.0
491,1.0,0.0,49.0,4.0
492,1.0,0.0,49.0,7.0
493,1.0,0.0,49.0,10.0
494,1.0,0.0,49.0,13.0
495,1.0,0.0,49.0,16.0
496,1.0,0.0,49.0,19.0
497,1.0,0.0,49.0,22.0
498,1.0,0.0,49.0,25.0
499,1.0,0.0,49.0,28.0
500,1.0,0.0,50.0,1.0
501,1.0,0.0,50.0,4.0
502,1.0,0.0,50.0,7.0
503,1.0,0.0,50.0,10.0
504,1.0,0.0,50.0,13.0
505,1.0,0.0,50.0,16.0
506,1.0,0.0,50.0,19.0
507,1.0,0.0,50.0,22.0
508,1.0,0.0,50.0,25.0
509,1.0,0.0,50.0,28.0
510,1.0,0.0,51.0,1.0
511,1.0,0.0,51.0,4.0
512,1.0,0.0,51.0,7.0
513,1.0,0.0,51.0,10.0
514,1.0,0.0,51.0,13.0
515,1.0,0.0,51.0,16.0
516,1.0,0.0,51.0,19.0
517,1.0,0.0,51.0,22.0
518,1.0,0.0,51.0,25.0
519,1.0,0.0,51.0,28.0
520,1.0,0.0,52.0,1.0
521,1.0,0.0,52.0,4.0
522,1.0,0.0,52.0,7.0
523,1.0,0.0,52.0,10.0
524,1.0,0.0,52.0,13.0
525,1.0,0.0,52.0,16.0
526,1.0,0.0,52.0,19.0
527,1.0,0.0,52.0,22.0
528,1.0,0.0,52.0,25.0
529,1.0,0.0,52.0,28.0
530,1.0,0.0,53.0,1.0
531,1.0,0.0,53.0,4.0
532,1.0,0.0,53.0,7.0
533,1.0,0.0,53.0,10.0
534,1.0,0.0,53.0,13.0
535,1.0,0.0,53.0,16.0
536,1.0,0.0,53.0,19.0
537,1.0,0.0,53.0,22.0
538,1.0,0.0,53.0,25.0
539,1.0,0.0,53.0,28.0
540,1.0,0.0,54.0,1.0
541,1.0,0.0,54.0,4.0
542,1.0,0.0,54.0,7.0
543,1.0,0.0,54.0,10.0
544,1.0,0.0,54.0,13.0
545,1.0,0.0,54.0,16.0
546,1.0,0.0,54.0,19.0
547,1.0,0.0,54.0,22.0
548,1.0,0.0,54.0,25.0
549,1.0,0.0,54.0,28.0
550,1.0,0.0,55.0,1.0
551,1.0,0.0,55.0,4.0
552,1.0,0.0,55.0,7.0
553,1.0,0.0,55.0,10.0
554,1.0,0.0,55.0,13.0
555,1.0,0.0,55.0,16.0
556,1.0,0.0,55.0,19.0
557,1.0,0.0,55.0,22.0
558,1.0,0.0,55.0,25.0
559,1.0,0.0,55.0,28.0
560,1.0,0.0,56.0,1.0
561,1.0,0.0,56.0,4.0
562,1.0,0.0,56.0,7.0
563,1.0,0.0,56.0,10.0
564,1.0,0.0,56.0,13.0
565,1.0,0.0,56.0,16.0
566,1.0,0.0,56.0,19.0
567,1.0,0.0,56.0,22.0
568,1.0,0.0,56.0,25.0
569,1.0,0.0,56.0,28.0
570,1.0,0.0,57.0,1.0
571,1.0,0.0,57.0,4.0
